Iteration,Cenary,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
15,3,(2 28),(27 10),1189,1171,461,(2 28) (2 27) (2 26) (2 25) (3 25) (4 25) (5 25) (6 25) (7 25) (7 24) (7 23) (7 22) (8 22) (9 22) (10 22) (10 21) (10 20) (10 19) (11 19) (12 19) (13 19) (13 18) (13 17) (13 16) (14 16) (15 16) (16 16) (17 16) (17 15) (17 14) (18 14) (19 14) (20 14) (21 14) (21 13) (21 12) (22 12) (23 12) (24 12) (25 12) (25 11) (25 10) (26 10) (27 10) 
15,4,(2 28),(27 10),1059,1038,377,(2 28) (2 27) (2 26) (2 25) (2 24) (2 23) (3 23) (4 23) (5 23) (6 23) (7 23) (8 23) (9 23) (10 23) (11 23) (12 23) (13 23) (13 22) (13 21) (13 20) (13 19) (13 18) (14 18) (15 18) (16 18) (17 18) (18 18) (19 18) (20 18) (20 17) (20 16) (20 15) (20 14) (21 14) (22 14) (23 14) (24 14) (25 14) (26 14) (27 14) (27 13) (27 12) (27 11) (27 10) 
16,1,(27 5),(10 24),838,820,360,(27 5) (26 5) (25 5) (24 5) (23 5) (22 5) (21 5) (21 6) (21 7) (21 8) (21 9) (20 9) (19 9) (19 10) (19 11) (19 12) (19 13) (18 13) (18 14) (18 15) (17 15) (16 15) (15 15) (15 16) (15 17) (15 18) (15 19) (15 20) (15 21) (14 21) (13 21) (13 22) (12 22) (11 22) (10 22) (10 23) (10 24) 
16,2,(27 5),(10 24),818,797,445,(27 5) (27 6) (27 7) (27 8) (27 9) (27 10) (27 11) (27 12) (27 13) (27 14) (27 15) (27 16) (27 17) (27 18) (27 19) (27 20) (27 21) (27 22) (27 23) (27 24) (26 24) (25 24) (24 24) (23 24) (22 24) (21 24) (20 24) (19 24) (18 24) (17 24) (16 24) (15 24) (14 24) (13 24) (12 24) (11 24) (10 24) 
16,3,(27 5),(10 24),1079,1057,376,(27 5) (27 6) (27 7) (27 8) (27 9) (26 9) (25 9) (24 9) (23 9) (23 10) (23 11) (23 12) (22 12) (21 12) (20 12) (20 13) (20 14) (20 15) (19 15) (18 15) (17 15) (17 16) (17 17) (17 18) (16 18) (15 18) (14 18) (14 19) (14 20) (14 21) (13 21) (12 21) (11 21) (11 22) (11 23) (11 24) (10 24) 
16,4,(27 5),(10 24),986,963,307,(27 5) (27 6) (27 7) (27 8) (27 9) (27 10) (27 11) (26 11) (25 11) (24 11) (23 11) (22 11) (21 11) (20 11) (19 11) (18 11) (18 12) (18 13) (18 14) (18 15) (18 16) (18 17) (17 17) (16 17) (15 17) (14 17) (14 18) (14 19) (14 20) (14 21) (14 22) (14 23) (14 24) (13 24) (12 24) (11 24) (10 24) 
17,1,(30 15),(26 9),120,101,100,(30 15) (29 15) (28 15) (28 14) (27 14) (27 13) (27 12) (27 11) (26 11) (26 10) (26 9) 
17,2,(30 15),(26 9),129,106,120,(30 15) (30 14) (30 13) (30 12) (30 11) (30 10) (30 9) (29 9) (28 9) (27 9) (26 9) 
17,3,(30 15),(26 9),161,124,104,(30 15) (30 14) (30 13) (30 12) (30 11) (29 11) (28 11) (27 11) (26 11) (26 10) (26 9) 
17,4,(30 15),(26 9),130,106,90,(30 15) (30 14) (30 13) (30 12) (30 11) (30 10) (30 9) (29 9) (28 9) (27 9) (26 9) 
18,1,(18 3),(27 7),271,237,130,(18 3) (19 3) (20 3) (21 3) (22 3) (23 3) (23 4) (24 4) (24 5) (24 6) (24 7) (25 7) (26 7) (27 7) 
18,2,(18 3),(27 7),323,282,175,(18 3) (18 4) (18 5) (18 6) (18 7) (19 7) (20 7) (21 7) (22 7) (23 7) (24 7) (25 7) (26 7) (27 7) 
18,3,(18 3),(27 7),354,309,143,(18 3) (18 4) (18 5) (19 5) (20 5) (21 5) (22 5) (23 5) (24 5) (25 5) (25 6) (25 7) (26 7) (27 7) 
18,4,(18 3),(27 7),293,254,109,(18 3) (18 4) (18 5) (18 6) (18 7) (19 7) (20 7) (21 7) (22 7) (23 7) (24 7) (25 7) (26 7) (27 7) 
19,1,(11 8),(14 14),192,153,90,(11 8) (11 9) (11 10) (11 11) (12 11) (12 12) (12 13) (13 13) (14 13) (14 14) 
19,2,(11 8),(14 14),177,140,105,(11 8) (11 9) (11 10) (11 11) (11 12) (11 13) (11 14) (12 14) (13 14) (14 14) 
19,3,(11 8),(14 14),223,164,92,(11 8) (11 9) (11 10) (11 11) (11 12) (12 12) (13 12) (14 12) (14 13) (14 14) 
19,4,(11 8),(14 14),197,150,84,(11 8) (11 9) (11 10) (11 11) (11 12) (11 13) (11 14) (12 14) (13 14) (14 14) 
20,1,(13 18),(5 26),532,477,160,(13 18) (12 18) (11 18) (10 18) (9 18) (9 19) (9 20) (8 20) (7 20) (7 21) (6 21) (6 22) (6 23) (6 24) (6 25) (5 25) (5 26) 
20,2,(13 18),(5 26),546,487,200,(13 18) (13 19) (13 20) (13 21) (13 22) (13 23) (13 24) (13 25) (13 26) (12 26) (11 26) (10 26) (9 26) (8 26) (7 26) (6 26) (5 26) 
20,3,(13 18),(5 26),726,635,169,(13 18) (13 19) (13 20) (13 21) (12 21) (11 21) (10 21) (9 21) (8 21) (8 22) (8 23) (8 24) (7 24) (6 24) (5 24) (5 25) (5 26) 
20,4,(13 18),(5 26),611,549,136,(13 18) (13 19) (13 20) (13 21) (13 22) (13 23) (13 24) (12 24) (11 24) (10 24) (9 24) (8 24) (7 24) (6 24) (5 24) (5 25) (5 26) 
21,1,(5 4),(3 26),546,513,240,(5 4) (4 4) (4 5) (4 6) (4 7) (4 8) (4 9) (4 10) (4 11) (4 12) (4 13) (4 14) (4 15) (4 16) (4 17) (4 18) (4 19) (4 20) (4 21) (4 22) (4 23) (3 23) (3 24) (3 25) (3 26) 
21,2,(5 4),(3 26),449,414,250,(5 4) (5 5) (5 6) (5 7) (5 8) (5 9) (5 10) (5 11) (5 12) (5 13) (5 14) (5 15) (5 16) (5 17) (5 18) (5 19) (5 20) (5 21) (5 22) (5 23) (5 24) (5 25) (5 26) (4 26) (3 26) 
21,3,(5 4),(3 26),674,629,240,(5 4) (5 5) (5 6) (5 7) (5 8) (5 9) (5 10) (5 11) (5 12) (5 13) (5 14) (5 15) (4 15) (4 16) (4 17) (4 18) (4 19) (4 20) (3 20) (3 21) (3 22) (3 23) (3 24) (3 25) (3 26) 
21,4,(5 4),(3 26),710,673,230,(5 4) (5 5) (5 6) (5 7) (5 8) (5 9) (5 10) (5 11) (5 12) (5 13) (5 14) (4 14) (4 15) (4 16) (4 17) (4 18) (4 19) (4 20) (4 21) (4 22) (4 23) (4 24) (3 24) (3 25) (3 26) 
22,1,(20 17),(17 25),308,260,110,(20 17) (19 17) (19 18) (19 19) (19 20) (19 21) (19 22) (19 23) (18 23) (17 23) (17 24) (17 25) 
22,2,(20 17),(17 25),254,204,125,(20 17) (20 18) (20 19) (20 20) (20 21) (20 22) (20 23) (20 24) (20 25) (19 25) (18 25) (17 25) 
22,3,(20 17),(17 25),357,281,112,(20 17) (20 18) (20 19) (20 20) (20 21) (19 21) (18 21) (17 21) (17 22) (17 23) (17 24) (17 25) 
22,4,(20 17),(17 25),321,258,98,(20 17) (20 18) (20 19) (20 20) (20 21) (20 22) (20 23) (20 24) (20 25) (19 25) (18 25) (17 25) 
23,1,(26 26),(15 26),189,170,110,(26 26) (25 26) (24 26) (23 26) (22 26) (21 26) (20 26) (19 26) (18 26) (17 26) (16 26) (15 26) 
23,2,(26 26),(15 26),239,213,165,(26 26) (25 26) (24 26) (23 26) (22 26) (21 26) (20 26) (19 26) (18 26) (17 26) (16 26) (15 26) 
23,3,(26 26),(15 26),280,248,140,(26 26) (25 26) (24 26) (23 26) (22 26) (21 26) (20 26) (19 26) (18 26) (17 26) (16 26) (15 26) 
23,4,(26 26),(15 26),241,217,110,(26 26) (25 26) (24 26) (23 26) (22 26) (21 26) (20 26) (19 26) (18 26) (17 26) (16 26) (15 26) 
