Iteration,Algorithm,Cenary,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
8,3,1,(8 22),(2 12),153,111,165,(8 22) (8 21) (8 20) (8 19) (8 18) (7 18) (6 18) (5 18) (5 17) (5 16) (5 15) (5 14) (4 14) (3 14) (2 14) (2 13) (2 12) 
8,3,2,(8 22),(2 12),107,66,165,(8 22) (8 21) (8 20) (8 19) (8 18) (7 18) (6 18) (5 18) (5 17) (5 16) (5 15) (5 14) (4 14) (3 14) (2 14) (2 13) (2 12) 
8,4,1,(8 22),(2 12),119,75,139,(8 22) (8 21) (8 20) (8 19) (8 18) (8 17) (8 16) (8 15) (7 15) (6 15) (5 15) (4 15) (3 15) (2 15) (2 14) (2 13) (2 12) 
8,4,2,(8 22),(2 12),47,17,145,(8 22) (8 21) (8 20) (8 19) (8 18) (8 17) (7 17) (6 17) (5 17) (4 17) (3 17) (2 17) (2 16) (2 15) (2 14) (2 13) (2 12) 
9,1,1,(2 8),(1 28),75,32,210,(2 8) (2 9) (2 10) (2 11) (2 12) (2 13) (2 14) (2 15) (2 16) (2 17) (2 18) (2 19) (2 20) (2 21) (2 22) (2 23) (2 24) (2 25) (2 26) (2 27) (2 28) (1 28) 
9,1,2,(2 8),(1 28),85,42,210,(2 8) (1 8) (1 9) (1 10) (1 11) (1 12) (1 13) (1 14) (1 15) (1 16) (1 17) (1 18) (1 19) (1 20) (1 21) (1 22) (1 23) (1 24) (1 25) (1 26) (1 27) (1 28) 
9,2,1,(2 8),(1 28),72,30,215,(2 8) (2 9) (2 10) (2 11) (2 12) (2 13) (2 14) (2 15) (2 16) (2 17) (2 18) (2 19) (2 20) (2 21) (2 22) (2 23) (2 24) (2 25) (2 26) (2 27) (2 28) (1 28) 
9,2,2,(2 8),(1 28),71,29,215,(2 8) (2 9) (2 10) (2 11) (2 12) (2 13) (2 14) (2 15) (2 16) (2 17) (2 18) (2 19) (2 20) (2 21) (2 22) (2 23) (2 24) (2 25) (2 26) (2 27) (2 28) (1 28) 
9,3,1,(2 8),(1 28),84,32,210,(2 8) (2 9) (2 10) (2 11) (2 12) (2 13) (2 14) (2 15) (2 16) (2 17) (2 18) (2 19) (2 20) (2 21) (2 22) (2 23) (2 24) (2 25) (1 25) (1 26) (1 27) (1 28) 
9,3,2,(2 8),(1 28),79,37,210,(2 8) (2 9) (2 10) (2 11) (2 12) (2 13) (1 13) (1 14) (1 15) (1 16) (1 17) (1 18) (1 19) (1 20) (1 21) (1 22) (1 23) (1 24) (1 25) (1 26) (1 27) (1 28) 
